 
 SAP2000 v20.2.0 File: MODELA4  KN, m, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 HP
 
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  Hammer_excitation
 FUNCTION  Joint121:  Joint 121  Acceleration  UZ    
 FUNCTION  Joint124:  Joint 124  Acceleration  UZ    
 FUNCTION  Joint129:  Joint 129  Acceleration  UZ    
 FUNCTION  Joint133:  Joint 133  Acceleration  UZ    
 FUNCTION  Joint137:  Joint 137  Acceleration  UZ    
 FUNCTION  Joint145:  Joint 145  Acceleration  UZ    
 FUNCTION  Joint143:  Joint 143  Acceleration  UZ    
 FUNCTION  Joint148:  Joint 148  Acceleration  UZ    
 FUNCTION  Joint152:  Joint 152  Acceleration  UZ    
 FUNCTION  Joint156:  Joint 156  Acceleration  UZ    
 FUNCTION  Joint160:  Joint 160  Acceleration  UZ    
 FUNCTION  Joint164:  Joint 164  Acceleration  UZ    
 FUNCTION  Joint168:  Joint 168  Acceleration  UZ    
 FUNCTION  Input Energy:  Input Energy      
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION
               Joint121    Joint124    Joint129    Joint133    Joint137    Joint145    Joint143    Joint148    Joint152    Joint156    Joint160    Joint164    Joint168 Input Energ
         0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.
       0.01       3.172     5.33094     6.22948     5.83981     4.48639     2.66214      0.7368    -0.77306    -1.80035    -2.29668     -2.2751    -1.79249    -0.96768   1.030E-05
       0.02      2.5743      4.6127     4.90964     3.40726     0.87233    -1.50174     -2.6783    -2.22831    -0.52537     1.51105     2.87548     2.95156     1.77613   1.009E-05
       0.03    -3.03336    -5.15854    -6.02443    -5.47437    -3.69688    -1.17155     1.55597     3.61227     4.63437     4.49024     3.41816      1.9298     0.62328   1.008E-05
       0.04     1.98827     3.75179     4.63115     4.47149     3.45428     1.97608     0.39139    -0.81468    -1.56731    -1.86187    -1.77103    -1.37941    -0.76044   1.008E-05
       0.05     1.17229     1.49715     1.20293     0.41279    -0.59491    -1.51535    -2.08278     -2.2936    -2.13004    -1.68905     -1.1039    -0.52345    -0.10319   1.008E-05
       0.06    -2.49891    -4.78393    -5.41298    -4.10365    -1.36601     1.73923     4.11402     4.91627     4.14315     2.39316     0.58144    -0.51609     -0.6148   1.007E-05
       0.07     0.30673      0.7296     0.83474     0.55298    -0.03123    -0.73279    -1.32592    -1.69122     -1.7416    -1.49752     -1.0499    -0.53701    -0.12661   1.007E-05
       0.08     2.31439     3.84268     3.98869     2.71115     0.56108    -1.57793    -2.95571    -3.04639    -2.08881    -0.69119      0.4321     0.82445     0.51288   1.007E-05
       0.09    -1.70281    -2.77499     -3.1222    -2.73756    -1.81716    -0.68147     0.36864     0.99435     1.13074     0.84832     0.35531    -0.08361    -0.24173   1.006E-05
        0.1    -0.74684    -1.19612    -1.42781    -1.45287    -1.33981    -1.18682    -1.06082    -1.02649    -1.03056    -0.99044    -0.82936    -0.53441    -0.19398   1.007E-05
       0.11     1.71012     2.55445     2.80486     2.54141     1.95933     1.28769     0.67603      0.3054      0.1492     0.14405     0.19026     0.19751     0.12452   1.008E-05
       0.12    -0.88565    -1.50276    -1.49418    -0.84479     0.16618     1.09439     1.58432     1.36297     0.60836    -0.30892    -0.96096    -1.07191    -0.65344   1.008E-05
       0.13    -0.18631    -0.10851     0.05805     0.29659     0.58711     0.90963     1.22093     1.51962      1.7309     1.78859     1.63884     1.26286     0.69037   1.008E-05
       0.14     1.05445     1.82302     1.89577     1.25255     0.20957    -0.73176    -1.12422    -0.78722     0.10317     1.10386     1.72051     1.65245     0.94848   1.008E-05
       0.15    -0.10247     0.01661     0.25311     0.49496     0.59113     0.41612    -0.09475    -0.81516    -1.58881    -2.18069    -2.37534    -2.04756    -1.20637   1.008E-05
       0.16    -0.82631    -1.40688    -1.55207    -1.21679    -0.53311     0.25441     0.91496     1.25171     1.26879     1.06681     0.78845     0.53277     0.30146   1.007E-05
       0.17     0.15622    -0.09612    -0.51968    -0.99647    -1.36933    -1.49835    -1.29457    -0.81722    -0.17185     0.45647     0.87452     0.94288     0.62408   1.007E-05
       0.18     0.51784     0.99646     1.41605     1.68057     1.66416     1.27049     0.45676    -0.56351    -1.58547    -2.32025    -2.53361    -2.13315    -1.20763   1.007E-05
       0.19    -0.78042    -1.29155    -1.55957    -1.57833    -1.38947    -1.06019    -0.63491     -0.2404     0.09318     0.32129      0.4181      0.3807     0.22928   1.007E-05
        0.2    -0.05679     -0.1938     -0.5348    -1.03494    -1.50834    -1.71022    -1.47138    -0.76436     0.20257     1.09304     1.57351     1.46597     0.84048   1.007E-05
       0.21      0.4347     0.98254     1.45036     1.71764     1.68169     1.29813     0.59314    -0.25958    -1.07573    -1.64523    -1.81339    -1.52982    -0.86628   1.008E-05
       0.22     -0.2107    -0.44461    -0.44394    -0.17545     0.25909     0.67779     0.91902     0.88182     0.61859     0.26676    -0.01579    -0.13173    -0.09099   1.008E-05
       0.23     0.03293    -0.00106    -0.05506    -0.05643      0.0765     0.39904      0.9177     1.53669     2.12154     2.49376     2.49368     2.03693     1.15423   1.008E-05
       0.24       0.296     0.67117     0.97063     1.11459     1.04888     0.76588     0.30368    -0.21663      -0.683    -0.98171    -1.04112      -0.852    -0.46981   1.008E-05
       0.25     0.05647      0.1325     0.24297     0.35329     0.41234     0.37703     0.22148    -0.01148    -0.27995    -0.51363    -0.64231    -0.61189    -0.39551   1.008E-05
       0.26    -0.36182     -0.6099    -0.86649    -1.10336    -1.23328    -1.15059    -0.77804    -0.17703     0.52704     1.12404     1.41101      1.2761     0.75026   1.007E-05
