 
 SAP2000 v20.2.0 File: MODELB23  KN, m, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 HP
 
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  Hammer_excitation
 FUNCTION  Joint121:  Joint 121  Acceleration  UZ    
 FUNCTION  Joint124:  Joint 124  Acceleration  UZ    
 FUNCTION  Joint129:  Joint 129  Acceleration  UZ    
 FUNCTION  Joint133:  Joint 133  Acceleration  UZ    
 FUNCTION  Joint137:  Joint 137  Acceleration  UZ    
 FUNCTION  Joint145:  Joint 145  Acceleration  UZ    
 FUNCTION  Joint143:  Joint 143  Acceleration  UZ    
 FUNCTION  Joint148:  Joint 148  Acceleration  UZ    
 FUNCTION  Joint152:  Joint 152  Acceleration  UZ    
 FUNCTION  Joint156:  Joint 156  Acceleration  UZ    
 FUNCTION  Joint160:  Joint 160  Acceleration  UZ    
 FUNCTION  Joint164:  Joint 164  Acceleration  UZ    
 FUNCTION  Joint168:  Joint 168  Acceleration  UZ    
 FUNCTION  Input Energy:  Input Energy      
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION
               Joint121    Joint124    Joint129    Joint133    Joint137    Joint145    Joint143    Joint148    Joint152    Joint156    Joint160    Joint164    Joint168 Input Energ
         0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.
       0.01     3.17399     5.32046     6.20758     5.81351     4.46385     2.64304     0.80021     -0.7295    -1.77899    -2.29647    -2.28689    -1.80867    -0.97963   1.029E-05
       0.02      2.6075     4.64609      4.9131     3.35925     0.77416    -1.62177     -2.7669     -2.2631     -0.5008     1.57588     2.94892     3.00398     1.79576   1.008E-05
       0.03    -2.99138    -5.05605    -5.88976    -5.34283    -3.59322    -1.09665     1.52254     3.59774     4.64772     4.52173     3.43643     1.93014     0.61727   1.007E-05
       0.04     1.99938     3.73924     4.60133     4.43925     3.42898      1.9473      0.4022     -0.8754    -1.71498    -2.08146    -2.01156    -1.58002    -0.87001   1.008E-05
       0.05      1.1262     1.36392     1.02031     0.24336    -0.68666    -1.48557    -1.96297    -2.06721    -1.84826    -1.40842    -0.86393    -0.35523    -0.02098   1.007E-05
       0.06    -2.47898    -4.72712    -5.33518    -4.02709    -1.31093     1.75802     4.03819     4.81045     4.03017     2.28929     0.48893    -0.58869    -0.65583   1.006E-05
       0.07      0.3665     0.83271     0.93632      0.6069    -0.05179    -0.82574    -1.48366    -1.86221    -1.89927    -1.62678    -1.13868    -0.59289    -0.15712   1.006E-05
       0.08     2.31654     3.83371     3.95701     2.65714     0.50806    -1.58428    -2.79602    -2.76266    -1.69826    -0.25339     0.82738     1.10663     0.64806   1.006E-05
       0.09    -1.67562     -2.7329    -3.08391    -2.72628    -1.85717    -0.79468     0.12798     0.66362     0.72696     0.41095    -0.05966    -0.40524    -0.41159   1.006E-05
        0.1    -0.75637    -1.23195    -1.45411    -1.41869    -1.20454    -0.94284     -0.7588    -0.71121    -0.76482    -0.80974    -0.72394    -0.48046    -0.16831   1.006E-05
       0.11     1.68637     2.45231     2.63484      2.3344     1.75681     1.12701     0.61539     0.31121     0.20627     0.22183      0.2517     0.22559     0.12524   1.007E-05
       0.12     -0.8384    -1.36583    -1.31157    -0.68001     0.25672     1.08169     1.42641     1.14001      0.3643    -0.53258    -1.13105    -1.17764    -0.69945   1.007E-05
       0.13    -0.16123    -0.07616     0.08307       0.311     0.60752     0.96904     1.37036     1.75851      2.0463     2.13566      1.9543     1.48858      0.7967   1.007E-05
       0.14     1.06411     1.80536     1.82597     1.11203    -0.00367    -0.99879    -1.40755    -1.05807    -0.13663     0.90148     1.55171     1.52385     0.87527   1.007E-05
       0.15    -0.07018     0.11853      0.4322     0.74786      0.8973     0.73589     0.21069    -0.59745    -1.48423    -2.17869    -2.43064    -2.10656     -1.2331   1.007E-05
       0.16    -0.89973     -1.6321    -1.88521    -1.57903    -0.84046      0.0608     0.82963      1.2727     1.34915     1.15597     0.85139     0.55861     0.30177   1.006E-05
       0.17     0.19666     0.01264    -0.37013    -0.84563    -1.25284    -1.43581    -1.30095    -0.86314    -0.23853     0.38763      0.8181     0.90717     0.61014   1.006E-05
       0.18     0.58817     1.14237     1.60011     1.85565     1.79193     1.33252     0.49477    -0.56903    -1.60909    -2.34449     -2.5522    -2.14871    -1.22092   1.006E-05
       0.19    -0.86586    -1.49196    -1.85956    -1.94061      -1.757    -1.36537    -0.84407    -0.29494     0.18237     0.50607     0.62851     0.54996     0.31545   1.006E-05
        0.2     0.03858     0.02512    -0.22157    -0.67413    -1.15351    -1.41102    -1.25425    -0.65868       0.201     1.01162     1.45453     1.35915     0.78339   1.006E-05
       0.21     0.41145     0.89282     1.31081     1.55662     1.52389     1.15191     0.46488    -0.40614    -1.25331    -1.84832    -2.01376    -1.69015    -0.95376   1.007E-05
       0.22    -0.28711    -0.59628    -0.62995     -0.3388     0.17527     0.71424     1.07999     1.15875      0.9677     0.63137     0.30818     0.10639      0.0329   1.007E-05
       0.23     0.12844     0.19853     0.19934     0.18644     0.24526     0.45159     0.83083     1.33898     1.85372     2.20524     2.23115      1.8395     1.04923   1.007E-05
       0.24     0.27691     0.63087     0.90178     1.01281     0.92075     0.63174     0.20404     -0.2685    -0.67712    -0.92662    -0.95954    -0.77655    -0.42772   1.007E-05
       0.25      0.0566     0.12375     0.23219      0.3543     0.44315     0.45524     0.36888     0.19137    -0.04032    -0.26951    -0.43364    -0.46814    -0.32865   1.007E-05
       0.26    -0.35942    -0.59243    -0.84328     -1.0922    -1.25759    -1.23449    -0.95359    -0.43286      0.2086     0.78287     1.10196     1.05112      0.6405   1.006E-05
