 
 SAP2000 v20.2.0 File: MODELC38  KN, m, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 HP
 
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  Hammer_excitation
 FUNCTION  Joint121:  Joint 121  Acceleration  UZ    
 FUNCTION  Joint124:  Joint 124  Acceleration  UZ    
 FUNCTION  Joint129:  Joint 129  Acceleration  UZ    
 FUNCTION  Joint133:  Joint 133  Acceleration  UZ    
 FUNCTION  Joint137:  Joint 137  Acceleration  UZ    
 FUNCTION  Joint145:  Joint 145  Acceleration  UZ    
 FUNCTION  Joint143:  Joint 143  Acceleration  UZ    
 FUNCTION  Joint148:  Joint 148  Acceleration  UZ    
 FUNCTION  Joint152:  Joint 152  Acceleration  UZ    
 FUNCTION  Joint156:  Joint 156  Acceleration  UZ    
 FUNCTION  Joint160:  Joint 160  Acceleration  UZ    
 FUNCTION  Joint164:  Joint 164  Acceleration  UZ    
 FUNCTION  Joint168:  Joint 168  Acceleration  UZ    
 FUNCTION  Input Energy:  Input Energy      
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION
               Joint121    Joint124    Joint129    Joint133    Joint137    Joint145    Joint143    Joint148    Joint152    Joint156    Joint160    Joint164    Joint168 Input Energ
         0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.
       0.01      3.2198     5.42836     6.29524     5.84364     4.40404     2.51028     0.65601     -0.8105    -1.75032     -2.1719    -2.14686      -1.677    -0.87812   1.031E-05
       0.02     2.57582     4.65781     4.99264     3.50419     0.94021    -1.50693    -2.76709    -2.39514    -0.71563     1.37842     2.87841     3.01297     1.79534   1.009E-05
       0.03    -3.15378    -5.31699    -6.16662     -5.4387    -3.45502    -0.78608     1.86069     3.81282     4.66117     4.37035     3.26249      1.7974     0.54171   1.008E-05
       0.04     1.91752     3.57051     4.37483     4.23535     3.29579     1.90549     0.44734    -0.75973    -1.54821    -1.88793    -1.83195    -1.42174    -0.75552   1.009E-05
       0.05       1.193     1.51029     1.25295     0.47106    -0.52524    -1.43766    -2.04496    -2.26179    -2.11578    -1.70776    -1.17345    -0.58683    -0.11307   1.008E-05
       0.06    -2.46742    -4.63989    -5.23758    -3.90842    -1.21077     1.82085     4.07357     4.84403     4.07922     2.34464      0.5175    -0.56808    -0.62625   1.007E-05
       0.07     0.32223      0.8066     0.88562     0.44744    -0.36152    -1.25009    -1.90135    -2.10987    -1.84561    -1.24733    -0.55051    -0.02799     0.16164   1.007E-05
       0.08     2.27832     3.86865     4.12124     2.94634     0.85647    -1.29333     -2.6784    -2.87347    -1.99888    -0.62265     0.54433     0.94845     0.58271   1.008E-05
       0.09    -1.81062    -2.98036    -3.30905    -2.74584    -1.60515    -0.33805     0.61979     1.00415     0.80214     0.23038    -0.37216    -0.69743    -0.57024   1.007E-05
        0.1    -0.84626    -1.43199    -1.72671    -1.72182    -1.49973    -1.20126    -0.95688    -0.82595    -0.77787    -0.72236    -0.57486    -0.31612    -0.05151   1.007E-05
       0.11      1.6682     2.50479      2.7818     2.53135     1.95621     1.28227     0.70235     0.33848     0.20517     0.22409     0.26881     0.27481     0.18933   1.009E-05
       0.12    -0.83165    -1.30262    -1.19324    -0.55078     0.34736     1.09832       1.368     1.03588     0.25495    -0.62316    -1.21331    -1.24608     -0.7416   1.009E-05
       0.13    -0.10589       0.102     0.29834     0.46114     0.59461     0.76077     1.02315     1.39817     1.81353     2.12095     2.15628     1.75858     0.96035   1.009E-05
       0.14     0.88661     1.52313     1.57607     0.98298     0.03976      -0.805    -1.13662    -0.78606     0.09738     1.10786     1.77168     1.72796     0.99906   1.009E-05
       0.15    -0.20139    -0.15698     0.14655      0.6077     0.97734     0.99386     0.50704     -0.4307    -1.56191    -2.51057     -2.9241    -2.56272    -1.47669   1.008E-05
       0.16     -0.7548    -1.34713    -1.52054    -1.22849    -0.59032     0.15455     0.75764     1.07498     1.09574     0.91775     0.67438     0.46346     0.27499   1.007E-05
       0.17     0.06162     -0.2048    -0.63306    -1.14547    -1.55866      -1.696    -1.44481    -0.82337      0.0178     0.83247     1.35783     1.38256     0.87398   1.007E-05
       0.18     0.51691     1.08593     1.57954     1.87922     1.84199     1.38243     0.52436    -0.56708    -1.63079    -2.38437    -2.61318    -2.20698    -1.25128   1.008E-05
       0.19    -0.63564    -1.03945    -1.28043    -1.39011    -1.37222    -1.23345     -0.9771     -0.6297    -0.24352     0.10532     0.33808     0.37664       0.231   1.007E-05
        0.2    -0.15489    -0.36743    -0.71392    -1.12305    -1.45215     -1.5116    -1.17065     -0.4437      0.4881      1.3289     1.78268      1.6326     0.93212   1.007E-05
       0.21     0.20981     0.53735     0.94497      1.3218     1.51218     1.36054     0.80136    -0.07687    -1.04834    -1.82065    -2.14234    -1.85384    -1.03738   1.008E-05
       0.22     -0.0373    -0.14018    -0.07657       0.148     0.46816     0.74685     0.86038     0.75598     0.47958     0.14925    -0.10621    -0.18782    -0.11244   1.009E-05
       0.23     0.11703     0.18475     0.15542     0.09028     0.09597      0.2873     0.72279     1.36249     2.05276     2.56649     2.68306     2.23384     1.25529   1.009E-05
       0.24     0.07879     0.32832     0.57679     0.73858      0.7505     0.58606     0.27304      -0.116    -0.48126    -0.72714    -0.79133     -0.6585    -0.36727   1.009E-05
       0.25     0.22592     0.42682     0.60703      0.7116     0.70558     0.56826     0.31141    -0.02061    -0.36019    -0.63287    -0.77375    -0.71976    -0.45206   1.008E-05
       0.26    -0.31501    -0.57235    -0.83795    -1.07172    -1.20073    -1.13961    -0.84037    -0.33059     0.27785     0.81692     1.12014     1.05533     0.63195   1.007E-05
