 
 SAP2000 v20.2.0 File: MODELA7  KN, m, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 HP
 
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  Hammer_excitation
 FUNCTION  Joint121:  Joint 121  Acceleration  UZ    
 FUNCTION  Joint124:  Joint 124  Acceleration  UZ    
 FUNCTION  Joint129:  Joint 129  Acceleration  UZ    
 FUNCTION  Joint133:  Joint 133  Acceleration  UZ    
 FUNCTION  Joint137:  Joint 137  Acceleration  UZ    
 FUNCTION  Joint145:  Joint 145  Acceleration  UZ    
 FUNCTION  Joint143:  Joint 143  Acceleration  UZ    
 FUNCTION  Joint148:  Joint 148  Acceleration  UZ    
 FUNCTION  Joint152:  Joint 152  Acceleration  UZ    
 FUNCTION  Joint156:  Joint 156  Acceleration  UZ    
 FUNCTION  Joint160:  Joint 160  Acceleration  UZ    
 FUNCTION  Joint164:  Joint 164  Acceleration  UZ    
 FUNCTION  Joint168:  Joint 168  Acceleration  UZ    
 FUNCTION  Input Energy:  Input Energy      
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION
               Joint121    Joint124    Joint129    Joint133    Joint137    Joint145    Joint143    Joint148    Joint152    Joint156    Joint160    Joint164    Joint168 Input Energ
         0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.
       0.01     3.17458      5.3339     6.22556     5.82278     4.45419     2.61727     0.78228    -0.72816    -1.75651    -2.25843    -2.30764    -1.82454    -0.98768   1.029E-05
       0.02     2.59789     4.64799      4.9467     3.43721     0.88971    -1.49879    -2.68334    -2.24707    -0.55362     1.47673     2.90426     2.97073      1.7834   1.007E-05
       0.03    -3.05632    -5.19774    -6.06651     -5.5028    -3.69817     -1.1404     1.50783     3.58509     4.62316     4.49041     3.42299     1.93464     0.62721   1.007E-05
       0.04     2.01318     3.79111     4.67239     4.50271      3.4673     1.96704     0.43929     -0.7898    -1.56661    -1.88345    -1.83531    -1.43951    -0.79721   1.007E-05
       0.05     1.17577     1.49367     1.19007     0.39363    -0.61169    -1.51881    -2.10749    -2.29174    -2.10524    -1.65488    -1.04741    -0.48399    -0.08525   1.007E-05
       0.06    -2.52419    -4.83053    -5.47219    -4.16142     -1.4059     1.73145     4.09939     4.94536     4.20527     2.47049      0.5521    -0.54452    -0.63196   1.006E-05
       0.07     0.35973     0.82558     0.94868     0.65788     0.04488    -0.69382    -1.34142    -1.73512    -1.80473     -1.5724    -1.09748    -0.57988    -0.15472   1.006E-05
       0.08     2.29938     3.80435     3.92734     2.63194     0.47442    -1.65894    -2.95472    -3.02551    -2.04994    -0.64145       0.507     0.88284      0.5441   1.006E-05
       0.09    -1.70406    -2.78474    -3.13408     -2.7413    -1.80353    -0.64701     0.37977     1.01206     1.14388     0.84942     0.34707    -0.09931    -0.25396   1.005E-05
        0.1    -0.72832    -1.16155    -1.38789    -1.41748    -1.31421    -1.17181    -1.07287    -1.04913    -1.06488    -1.03629    -0.87804    -0.57678     -0.2185   1.006E-05
       0.11     1.71997     2.55305     2.78532     2.50318     1.90934     1.23784     0.67758     0.32722     0.18847      0.1907     0.19894     0.19801     0.12075   1.007E-05
       0.12    -0.89423    -1.51418    -1.50443    -0.84836     0.17555     1.12165     1.58297     1.37858     0.63415     -0.2828     -0.9325    -1.05425    -0.64602   1.007E-05
       0.13    -0.17908     -0.0984     0.06034     0.28243     0.55535      0.8673     1.19716     1.50371     1.72448     1.78905     1.61474     1.24222     0.67708   1.007E-05
       0.14      1.0955      1.8848     1.96234      1.3096     0.24816     -0.7143    -1.12562    -0.80406     0.07637     1.07194     1.72371     1.65163     0.94526   1.007E-05
       0.15    -0.13331     -0.0379     0.18907     0.43763     0.55349     0.40337    -0.06247    -0.77501     -1.5543    -2.16022    -2.35964    -2.04031    -1.20236   1.007E-05
       0.16    -0.82236    -1.41211    -1.56876    -1.24141    -0.55656     0.24346     0.90555     1.26565     1.29881     1.10086     0.78766     0.52423     0.29161   1.006E-05
       0.17     0.18814    -0.03659    -0.44902    -0.93241    -1.32459    -1.47768    -1.31228    -0.84942       -0.21     0.41902     0.85359     0.92907     0.61802   1.006E-05
       0.18     0.51186      0.9796     1.39098     1.65141     1.63525     1.24486     0.47631    -0.54322    -1.57059    -2.31543    -2.54739    -2.15082    -1.22057   1.006E-05
       0.19    -0.79634     -1.3222    -1.60159    -1.62428    -1.42752    -1.07651    -0.64744    -0.21614     0.14935     0.39563     0.50013     0.44311     0.26054   1.006E-05
        0.2    -0.02782    -0.14216    -0.47591    -0.98587    -1.48269     -1.7152    -1.49773    -0.81795     0.13098     1.01614     1.51298     1.42274     0.81986   1.006E-05
       0.21     0.44616     0.99426     1.46478     1.73828     1.70945     1.32892     0.63628     -0.2328    -1.07381    -1.66942    -1.84525    -1.56529    -0.88991   1.007E-05
       0.22     -0.2557    -0.52564    -0.54685    -0.28115      0.1717     0.62739      0.9071      0.9196     0.69663     0.36705     0.06804    -0.06563    -0.05535   1.007E-05
       0.23     0.07166     0.06637     0.02196     0.00972     0.11642     0.40627     0.88576     1.48409     2.05924     2.43223       2.435     1.99392     1.13168   1.007E-05
       0.24     0.30968     0.69803     1.00871     1.15993     1.09565     0.80701     0.34302    -0.19617    -0.68363     -1.0007    -1.05732    -0.86973    -0.48115   1.007E-05
       0.25     0.02289     0.06571     0.15334     0.25556     0.32312     0.31166     0.20111     0.00504    -0.23213    -0.44707    -0.58444     -0.5671      -0.373   1.007E-05
       0.26    -0.34161    -0.56961    -0.81559    -1.05259    -1.19132    -1.12212    -0.77811    -0.18807     0.50987     1.10595     1.41194     1.27998     0.75463   1.006E-05
