 
 SAP2000 v20.2.0 File: MODELB26  KN, m, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 HP
 
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  Hammer_excitation
 FUNCTION  Joint121:  Joint 121  Acceleration  UZ    
 FUNCTION  Joint124:  Joint 124  Acceleration  UZ    
 FUNCTION  Joint129:  Joint 129  Acceleration  UZ    
 FUNCTION  Joint133:  Joint 133  Acceleration  UZ    
 FUNCTION  Joint137:  Joint 137  Acceleration  UZ    
 FUNCTION  Joint145:  Joint 145  Acceleration  UZ    
 FUNCTION  Joint143:  Joint 143  Acceleration  UZ    
 FUNCTION  Joint148:  Joint 148  Acceleration  UZ    
 FUNCTION  Joint152:  Joint 152  Acceleration  UZ    
 FUNCTION  Joint156:  Joint 156  Acceleration  UZ    
 FUNCTION  Joint160:  Joint 160  Acceleration  UZ    
 FUNCTION  Joint164:  Joint 164  Acceleration  UZ    
 FUNCTION  Joint168:  Joint 168  Acceleration  UZ    
 FUNCTION  Input Energy:  Input Energy      
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION
               Joint121    Joint124    Joint129    Joint133    Joint137    Joint145    Joint143    Joint148    Joint152    Joint156    Joint160    Joint164    Joint168 Input Energ
         0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.
       0.01     3.24667     5.48775     6.39901     5.93982     4.46139     2.50912     0.50204    -0.97632    -1.87522    -2.23016    -2.11198    -1.61658    -0.86122   1.032E-05
       0.02     2.47099     4.44696     4.78503     3.41257     1.02233    -1.28751    -2.54956    -2.15106    -0.43727      1.5324     2.81972     2.86174     1.71218   1.010E-05
       0.03    -3.20058    -5.47982    -6.35984    -5.67055    -3.66177    -0.91466     1.94052     3.91857      4.7001     4.31739     3.10382     1.62274     0.45111   1.009E-05
       0.04     2.12088     3.94626     4.80535      4.5482     3.39033     1.77716     0.10547    -1.06968    -1.68766    -1.83012    -1.62412    -1.19696    -0.63492   1.009E-05
       0.05     1.08223     1.34583     1.06434     0.36233    -0.51614    -1.32168    -1.84108    -2.08289    -2.01357     -1.6969    -1.20786    -0.65557    -0.19051   1.009E-05
       0.06    -2.54984    -4.82531    -5.46299    -4.18431    -1.47097     1.66096     4.15063     4.95546      4.0687     2.27973     0.47668    -0.59194    -0.65585   1.008E-05
       0.07     0.65483     1.36801     1.49993     0.95782     -0.0653    -1.19671    -2.04414    -2.28365    -1.90015    -1.19017    -0.44189     0.08478      0.2396   1.008E-05
       0.08     2.09375     3.46449     3.63804     2.57121     0.71724    -1.18509    -2.50332    -2.66088    -1.85258    -0.68963     0.23986     0.57116     0.34614   1.008E-05
       0.09    -1.88796    -3.12018    -3.48165    -2.95382    -1.79807    -0.44389     0.71504     1.23385     1.09904     0.54871    -0.09474    -0.50392    -0.47619   1.007E-05
        0.1    -0.46982    -0.77962     -1.0437    -1.25886    -1.41128    -1.48663    -1.46466    -1.34843    -1.12811    -0.82965    -0.48603    -0.16228     0.04245   1.008E-05
       0.11     1.51548     2.22044     2.45473     2.30407     1.91576     1.43974     0.95672     0.56397     0.26029     0.07855    -0.00188    -0.01805     -0.0093   1.009E-05
       0.12    -0.90546    -1.46012    -1.41005    -0.76427     0.20243     1.07297     1.52036     1.26214     0.47535    -0.44172    -1.07842    -1.16871     -0.7178   1.009E-05
       0.13     0.11155     0.41113     0.57364     0.57423     0.49681     0.48853     0.65149     1.08983     1.66132     2.11372     2.21683     1.84237     1.03213   1.009E-05
       0.14     0.85829     1.46371     1.53411     1.05761      0.2727    -0.44348    -0.74735    -0.46508     0.26776     1.05145     1.50467     1.40307     0.79655   1.009E-05
       0.15     -0.2543    -0.25143     0.00229     0.39975     0.72365     0.74199     0.29639    -0.54983    -1.59165    -2.45851     -2.8176    -2.47485    -1.45406   1.009E-05
       0.16    -0.62346    -1.10974    -1.30724    -1.15479    -0.70385    -0.09104     0.53812     0.98131     1.19965      1.2345     1.12214     0.88772     0.52451   1.008E-05
       0.17     0.10423    -0.16522    -0.56774    -0.99054     -1.2965    -1.37186    -1.14909     -0.6826    -0.07147     0.50114     0.86714     0.90779      0.5939   1.008E-05
       0.18     0.43756     0.93136     1.39609     1.71317     1.73588     1.35523     0.52447    -0.54121    -1.62637    -2.41972    -2.67039    -2.27096    -1.30018   1.008E-05
       0.19    -0.55638     -0.9296    -1.22105    -1.42184    -1.49606      -1.394    -1.06133    -0.55738     0.03835     0.55082     0.83121      0.7991     0.48001   1.008E-05
        0.2    -0.15277    -0.38788    -0.72921    -1.12225    -1.42909     -1.4856    -1.19176    -0.53801     0.29738     1.02849     1.39961     1.28084     0.73445   1.008E-05
       0.21     0.22928      0.6248     1.07781     1.47197     1.64296     1.44747     0.82559    -0.11155    -1.13883    -1.93343    -2.23599    -1.93157    -1.10003   1.009E-05
       0.22    -0.02661    -0.15802    -0.18729    -0.07301     0.15168     0.40162     0.59177     0.63805     0.55304     0.40785     0.26612      0.1631     0.08854   1.009E-05
       0.23     0.04224     0.04015      0.0052     0.00215     0.11526     0.41136     0.91179     1.53279     2.13833     2.53364     2.54608     2.08391     1.18009   1.009E-05
       0.24     0.18648     0.52978     0.85737     1.07616     1.10015     0.88451      0.4388    -0.11517    -0.65295    -1.03906    -1.16571    -0.99407    -0.56739   1.009E-05
       0.25     0.20183     0.36003     0.45894     0.47026     0.38965     0.24013     0.04983    -0.12204    -0.26087    -0.34942    -0.38515    -0.35834    -0.24273   1.009E-05
       0.26    -0.38241     -0.6689     -0.9266    -1.12103    -1.18545    -1.05036    -0.66876    -0.10502     0.53304     1.05782     1.30335     1.17728     0.70023   1.008E-05
