 
 SAP2000 v20.2.0 File: MODELC22  KN, m, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 HP
 
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  Hammer_excitation
 FUNCTION  Joint121:  Joint 121  Acceleration  UZ    
 FUNCTION  Joint124:  Joint 124  Acceleration  UZ    
 FUNCTION  Joint129:  Joint 129  Acceleration  UZ    
 FUNCTION  Joint133:  Joint 133  Acceleration  UZ    
 FUNCTION  Joint137:  Joint 137  Acceleration  UZ    
 FUNCTION  Joint145:  Joint 145  Acceleration  UZ    
 FUNCTION  Joint143:  Joint 143  Acceleration  UZ    
 FUNCTION  Joint148:  Joint 148  Acceleration  UZ    
 FUNCTION  Joint152:  Joint 152  Acceleration  UZ    
 FUNCTION  Joint156:  Joint 156  Acceleration  UZ    
 FUNCTION  Joint160:  Joint 160  Acceleration  UZ    
 FUNCTION  Joint164:  Joint 164  Acceleration  UZ    
 FUNCTION  Joint168:  Joint 168  Acceleration  UZ    
 FUNCTION  Input Energy:  Input Energy      
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION
               Joint121    Joint124    Joint129    Joint133    Joint137    Joint145    Joint143    Joint148    Joint152    Joint156    Joint160    Joint164    Joint168 Input Energ
         0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.
       0.01     3.28592     5.55939     6.46981     5.98276     4.46234     2.46842     0.53129    -0.95948    -1.86043    -2.21561    -2.09692    -1.60592    -0.85746   1.032E-05
       0.02     2.48803     4.44477     4.73756     3.32263      0.9165    -1.37383    -2.58274     -2.1342     -0.3848     1.59268     2.86169     2.87351      1.7034   1.009E-05
       0.03     -3.2226     -5.5271    -6.41379    -5.70985    -3.66798    -0.87952      1.9002     3.89979     4.68886     4.30096     3.06606     1.57964     0.42691   1.008E-05
       0.04     2.20203     4.07157      4.9409     4.67544     3.49682     1.84654     0.19674    -1.06749    -1.79023    -2.01739    -1.83968    -1.37753    -0.73125   1.009E-05
       0.05     0.99193      1.1421     0.80382     0.11226    -0.69192    -1.37751    -1.80423     -1.9246    -1.77594    -1.43571    -0.97336    -0.49222    -0.11744   1.009E-05
       0.06    -2.51459    -4.73033    -5.33066    -4.06156    -1.40285     1.65347     4.02986     4.81688     3.95722     2.21462     0.44799    -0.59881    -0.65462   1.007E-05
       0.07     0.77874     1.59964     1.76291     1.17813     0.06366    -1.17207    -2.11442    -2.40534    -2.03762    -1.31972    -0.54264     0.01428     0.19935   1.008E-05
       0.08     1.98725     3.23197     3.31107      2.2103     0.40047    -1.38266    -2.47258    -2.45834    -1.51899    -0.30305      0.5831     0.80655     0.45229   1.008E-05
       0.09    -1.81147    -2.98965    -3.31516    -2.77224    -1.63041    -0.32949     0.68864      1.0776     0.81036     0.17026    -0.48714    -0.81644    -0.63758   1.007E-05
        0.1    -0.47445    -0.80827    -1.07542    -1.25797    -1.34579    -1.34608    -1.27915    -1.15668    -0.98105    -0.74737    -0.45025    -0.14959     0.05005   1.008E-05
       0.11     1.45951       2.073       2.235     2.04126     1.65083     1.22071     0.85885     0.58335     0.38947     0.27044     0.18142     0.10344     0.03471   1.009E-05
       0.12    -0.79987    -1.20139    -1.06241    -0.42269     0.44848     1.16898     1.41575     1.04314     0.20698    -0.70039    -1.27963    -1.29341    -0.76993   1.009E-05
       0.13     0.10539     0.37234     0.48731     0.44937     0.36838     0.40765     0.69059     1.24439     1.91443     2.41545     2.50007     2.04792     1.12976   1.009E-05
       0.14     0.85151     1.41006     1.43788     0.93452     0.14378    -0.56116    -0.85422    -0.56028      0.1737     0.94771      1.3864     1.28998     0.72273   1.009E-05
       0.15    -0.22242    -0.15899     0.16047     0.61975     0.98282       0.996     0.51177    -0.45386    -1.63936    -2.61815    -3.01305    -2.62749     -1.5194   1.008E-05
       0.16    -0.67724    -1.28854    -1.57978    -1.45856    -0.96402    -0.24304     0.51083     1.08901     1.39699     1.46121     1.31852      1.0142     0.57365   1.008E-05
       0.17     0.13438    -0.06476    -0.42676     -0.8614    -1.22708    -1.38525    -1.25552    -0.82459    -0.20419     0.40077     0.80381     0.87348     0.57847   1.008E-05
       0.18     0.52417     1.11049      1.6181     1.92074     1.88257     1.41861     0.55144    -0.57015    -1.68304    -2.48077    -2.72048    -2.30459     -1.3169   1.008E-05
       0.19    -0.64375    -1.14311    -1.53063    -1.76957    -1.80875    -1.60198    -1.14364    -0.48104      0.2419     0.82016      1.0918     0.98973     0.57023   1.007E-05
        0.2    -0.10053    -0.26096    -0.54153     -0.9005    -1.21041    -1.31301    -1.09918    -0.55781       0.167     0.82094     1.17209     1.09833     0.64245   1.008E-05
       0.21     0.25049     0.62588     1.06687     1.46725     1.65774     1.47908     0.86899     -0.1051    -1.19543    -2.04825    -2.37652    -2.05468    -1.16874   1.009E-05
       0.22    -0.12765    -0.35335    -0.44017    -0.33629    -0.06869     0.27523     0.58953      0.7783     0.81466     0.73764     0.59231     0.41544     0.21936   1.009E-05
       0.23     0.15863     0.29072     0.32483      0.3046     0.32199     0.47509     0.81665     1.32635     1.87722     2.26851     2.31629     1.91686     1.09246   1.009E-05
       0.24     0.17528       0.499     0.80821     1.01626     1.04253     0.84415     0.43934    -0.08295    -0.59546    -0.96807    -1.09476    -0.93842    -0.53811   1.009E-05
       0.25     0.15953     0.26047      0.3238     0.33337     0.28776     0.20257     0.10264     0.00132     -0.0911    -0.16665    -0.22633    -0.24842    -0.19131   1.008E-05
       0.26    -0.34279    -0.57968    -0.80178    -0.98318    -1.06552    -0.98404    -0.70479    -0.24334     0.30187     0.77269     1.02511     0.96676     0.59618   1.008E-05
